sale_id,date,medication,category,unit,quantity_sold,unit_price,payment_method,total_price
123,2025-03-01,Vitamin D3 1000IU,Gastrointestinal,Vial,18,243.05,Card,4374.9
128,2025-03-01,Cetirizine 10mg,Vitamins & Supplements,Strip,16,53.46,Insurance,855.36
163,2025-03-01,Omeprazole 20mg,Diabetes,Vial,13,173.9,Insurance,2260.7
169,2025-03-01,Levothyroxine 50mcg,Thyroid,Tab,9,216.72,Cash,1950.48
225,2025-03-01,Cetirizine 10mg,Pain Relief,Vial,13,94.83,Insurance,1232.79
275,2025-03-01,Amlodipine 5mg,Diabetes,Bottle,18,122.26,Cash,2200.68
327,2025-03-01,Paracetamol 500mg,Pain Relief,Vial,3,175.21,Card,525.63
348,2025-03-01,Vitamin D3 1000IU,Diabetes,Bottle,5,68.42,UPI,342.1
507,2025-03-01,Vitamin D3 1000IU,Vitamins & Supplements,Capsule,18,87.0,Card,1566.0
578,2025-03-01,Cetirizine 10mg,Thyroid,Bottle,5,192.94,UPI,964.7
581,2025-03-01,Atorvastatin 10mg,Pain Relief,Capsule,10,141.36,Card,1413.6
591,2025-03-01,Azithromycin 500mg,Allergy,Tab,4,228.47,Insurance,913.88
641,2025-03-01,Pantoprazole 40mg,Gastrointestinal,Strip,6,107.12,UPI,642.72
668,2025-03-01,Omeprazole 20mg,Allergy,Vial,2,15.68,Cash,31.36
814,2025-03-01,Ibuprofen 400mg,Antibiotics,Strip,18,38.72,Card,696.96
846,2025-03-01,Ibuprofen 400mg,Antibiotics,Strip,10,118.07,UPI,1180.7
884,2025-03-01,Metformin 500mg,Thyroid,Capsule,22,208.98,Card,4597.56
949,2025-03-01,Omeprazole 20mg,Cardiovascular,Tab,20,50.59,Insurance,1011.8
967,2025-03-01,Ibuprofen 400mg,Thyroid,Vial,24,70.54,Insurance,1692.96
992,2025-03-01,Cetirizine 10mg,Antibiotics,Bottle,4,53.11,UPI,212.44
997,2025-03-01,Atorvastatin 10mg,Allergy,Tab,10,183.43,Card,1834.3
1015,2025-03-01,Cetirizine 10mg,Gastrointestinal,Tab,15,53.45,Cash,801.75
1114,2025-03-01,Omeprazole 20mg,Thyroid,Tab,14,179.23,Cash,2509.22
1140,2025-03-01,Omeprazole 20mg,Cardiovascular,Bottle,13,133.99,Insurance,1741.87
1285,2025-03-01,Cetirizine 10mg,Thyroid,Tab,6,165.45,UPI,992.7
1309,2025-03-01,Metformin 500mg,Vitamins & Supplements,Capsule,18,194.75,Card,3505.5
1336,2025-03-01,Azithromycin 500mg,Allergy,Capsule,7,213.53,Cash,1494.71
1497,2025-03-01,Vitamin D3 1000IU,Cardiovascular,Tab,18,170.44,Insurance,3067.92
1507,2025-03-01,Atorvastatin 10mg,Vitamins & Supplements,Tab,18,246.34,UPI,4434.12
1572,2025-03-01,Cetirizine 10mg,Gastrointestinal,Capsule,11,244.69,Cash,2691.59
1592,2025-03-01,Pantoprazole 40mg,Thyroid,Strip,6,177.92,Cash,1067.52
1606,2025-03-01,Ibuprofen 400mg,Gastrointestinal,Strip,8,176.76,Insurance,1414.08
1628,2025-03-01,Atorvastatin 10mg,Diabetes,Vial,11,170.04,UPI,1870.44
1680,2025-03-01,Vitamin D3 1000IU,Vitamins & Supplements,Vial,10,122.38,UPI,1223.8
1782,2025-03-01,Paracetamol 500mg,Diabetes,Tab,7,23.51,UPI,164.57
1830,2025-03-01,Levothyroxine 50mcg,Allergy,Capsule,15,46.77,Insurance,701.55
1985,2025-03-01,Omeprazole 20mg,Allergy,Bottle,12,25.6,Card,307.2
1999,2025-03-01,Paracetamol 500mg,Cardiovascular,Bottle,4,249.93,UPI,999.72
22,2025-03-02,Vitamin D3 1000IU,Antibiotics,Vial,10,166.72,Card,1667.2
27,2025-03-02,Cetirizine 10mg,Diabetes,Vial,4,77.54,Card,310.16
67,2025-03-02,Azithromycin 500mg,Vitamins & Supplements,Tab,21,199.34,Insurance,4186.14
83,2025-03-02,Levothyroxine 50mcg,Thyroid,Vial,23,61.58,Cash,1416.34
206,2025-03-02,Levothyroxine 50mcg,Diabetes,Capsule,12,42.42,UPI,509.04
258,2025-03-02,Vitamin D3 1000IU,Antibiotics,Tab,12,62.21,Insurance,746.52
267,2025-03-02,Azithromycin 500mg,Vitamins & Supplements,Capsule,3,96.23,Cash,288.69
268,2025-03-02,Atorvastatin 10mg,Vitamins & Supplements,Strip,23,189.67,Insurance,4362.41
277,2025-03-02,Paracetamol 500mg,Vitamins & Supplements,Capsule,10,75.13,UPI,751.3
347,2025-03-02,Levothyroxine 50mcg,Cardiovascular,Vial,16,72.47,Card,1159.52
386,2025-03-02,Atorvastatin 10mg,Diabetes,Vial,1,116.96,Card,116.96
478,2025-03-02,Vitamin D3 1000IU,Gastrointestinal,Vial,19,82.88,Card,1574.72
481,2025-03-02,Atorvastatin 10mg,Gastrointestinal,Tab,7,184.01,Card,1288.07
518,2025-03-02,Paracetamol 500mg,Pain Relief,Bottle,24,180.48,Cash,4331.52
650,2025-03-02,Metformin 500mg,Vitamins & Supplements,Vial,22,18.64,Insurance,410.08
679,2025-03-02,Vitamin D3 1000IU,Cardiovascular,Bottle,3,77.52,Cash,232.56
805,2025-03-02,Cetirizine 10mg,Antibiotics,Bottle,1,161.69,Insurance,161.69
937,2025-03-02,Amlodipine 5mg,Thyroid,Capsule,22,97.03,Cash,2134.66
1031,2025-03-02,Vitamin D3 1000IU,Thyroid,Vial,23,58.04,UPI,1334.92
1074,2025-03-02,Atorvastatin 10mg,Vitamins & Supplements,Bottle,16,213.09,UPI,3409.44
1155,2025-03-02,Pantoprazole 40mg,Thyroid,Capsule,9,94.36,Cash,849.24
1251,2025-03-02,Ibuprofen 400mg,Antibiotics,Strip,23,223.73,UPI,5145.79
1265,2025-03-02,Pantoprazole 40mg,Allergy,Vial,11,102.63,Insurance,1128.93
1304,2025-03-02,Omeprazole 20mg,Vitamins & Supplements,Strip,19,172.74,Cash,3282.06
1307,2025-03-02,Ibuprofen 400mg,Cardiovascular,Vial,7,211.41,Card,1479.87
1379,2025-03-02,Azithromycin 500mg,Diabetes,Strip,8,53.19,Insurance,425.52
1414,2025-03-02,Levothyroxine 50mcg,Cardiovascular,Capsule,21,69.0,UPI,1449.0
1439,2025-03-02,Paracetamol 500mg,Gastrointestinal,Capsule,21,78.3,Card,1644.3
1530,2025-03-02,Levothyroxine 50mcg,Vitamins & Supplements,Tab,19,209.0,Card,3971.0
1597,2025-03-02,Azithromycin 500mg,Diabetes,Tab,13,249.94,Card,3249.22
1679,2025-03-02,Cetirizine 10mg,Cardiovascular,Strip,21,27.4,UPI,575.4
1686,2025-03-02,Ibuprofen 400mg,Thyroid,Tab,21,78.78,UPI,1654.38
1721,2025-03-02,Azithromycin 500mg,Thyroid,Strip,17,197.75,Insurance,3361.75
1778,2025-03-02,Ibuprofen 400mg,Vitamins & Supplements,Vial,7,109.97,Insurance,769.79
1824,2025-03-02,Azithromycin 500mg,Vitamins & Supplements,Strip,20,247.88,UPI,4957.6
1950,2025-03-02,Pantoprazole 40mg,Gastrointestinal,Bottle,11,246.69,Insurance,2713.59
19,2025-03-03,Azithromycin 500mg,Thyroid,Capsule,11,39.97,Cash,439.67
